,Florida,California,Texas,New York,Massachusetts,New Jersey,Arizona,Colorado,Missouri
2003-10-01,155024.6843378183,314946.7750010165,125524.20042252116,215992.8890427976,326250.0232145206,269517.2444880604,168068.86737671169,230376.59376408884,128039.00639449946
2003-11-01,156601.6124524531,319264.34247231996,125703.30078259448,218000.05487254518,329010.5249661105,272064.0106315812,168972.90141776178,230748.01518695176,128734.04457239587
2003-12-01,158110.3762750084,323439.4602457934,125854.91665088579,219800.263714941,331592.0168385098,274444.1909514224,169753.57187580699,231154.026255487,129438.83207279019
2004-01-01,159556.834762926,327761.71606647485,126234.29844286862,221552.60874279132,334004.2778242579,276810.5574911432,170452.83046001472,231515.4012205944,130068.82362664293
2004-02-01,160989.24547964305,332629.8422766872,127088.2857310152,223213.28496326343,336416.9578744224,279245.3460720871,171336.5012535409,231816.88443698993,130582.58468116318
2004-03-01,162558.6036177737,338182.4835578271,128440.14696156389,224605.29167710684,338922.7275724976,281930.6885936158,172411.48657659083,232168.21445778207,130973.7374036231
2004-04-01,164348.0933225418,344556.7866019023,129781.68861744273,225988.665552474,341700.418768636,284836.1473843973,173717.82686956052,232686.7670775924,131297.71602255883
2004-05-01,166443.0884521684,351896.2612709114,130890.28323547741,227616.88654119358,344539.55209877045,288237.76568509795,175308.78247395632,233362.80724874107,131734.69138064186
2004-06-01,168819.56179617907,360087.2212843593,131601.81349793434,229625.7246885445,347229.49591289746,291946.0565626338,177091.68507481168,234074.76871063397,132272.2496111025
2004-07-01,171459.69796699603,368461.4015337552,132266.92974743125,231884.84670110434,349945.3099068562,295920.9757416188,,234728.95373057722,132939.13910053766
2004-08-01,174367.1559283815,376453.31906928803,132871.91805998047,234208.89932427043,352716.7017946294,300044.32564402226,181962.4709440459,235323.71711661192,133547.97205445994
2004-09-01,177319.4980357635,384021.94623057643,133555.0328959905,236655.78067162857,355983.21866203775,304117.0518938797,184547.43565013554,235683.53465861987,134073.51873343615
2004-10-01,180155.7268040496,391291.00186733925,134190.61496657692,239060.23263728144,359244.5653838827,308124.7114414083,187213.21315376388,236061.75510428418,134554.2305647354
2004-11-01,182815.9130086543,397681.746330994,134759.20319358716,241496.54977823343,362315.72805052414,311847.81044024864,189885.22529010332,236391.15303891394,135080.10718628284
2004-12-01,185526.63143642494,403856.1036000487,135256.12239563526,243825.0133468914,364888.2797782529,315331.72491719015,193078.80047574252,236929.41305731647,135658.16817244908
2005-01-01,188310.12558282298,409350.9018338003,135785.36448784734,246044.689167941,367227.747642016,318640.75443002937,196536.4683836895,237528.0497887891,136215.4900193319
2005-02-01,191286.66224716845,415306.41907214577,136230.63450696165,248207.22485299455,369964.34206365934,321784.20014043385,200761.2547738107,237994.08480551047,136725.88921217714
2005-03-01,194623.97464055227,421566.6285764932,136627.3963672456,250196.99067310223,372879.9162818591,325011.2077755464,205251.76331133454,238464.62516725005,137209.43544553
2005-04-01,198557.32800498523,428625.56530545483,136977.11649171167,252296.97251047497,375985.0161805682,328710.5379443183,210635.91479203585,238990.80341104488,137701.973673063
2005-05-01,202946.34612295384,435491.9646941197,137357.5101811338,254526.8937227313,378668.16212586855,332791.8885614527,216902.21356922912,239712.94183486383,138286.86762862036
2005-06-01,207704.2477964552,441841.4564600408,137773.22412634853,256831.0393285899,380509.3024047113,337110.6318532398,224789.31602462687,240387.87972577606,138908.180589787
2005-07-01,212781.66350646233,447916.3985402584,138141.10566032978,259255.65440088094,381614.2591944428,341271.127240878,233691.29364873492,241007.58789950842,139544.91882804877
